"행정구역별(1)","특성별(1)",특성별(2),2019,2019,2019,2019,2019,2019
"행정구역별(1)","특성별(1)",특성별(2),계,- 매우 부담됨,- 약간 부담됨,- 보통,- 별로 부담되지 않음,- 전혀 부담되지 않음
"전국","전체",계,100.0,17.0,38.9,36.0,6.2,1.9
"전국","동·읍면부",동부,100.0,17.0,39.3,36.0,5.8,1.9
"전국","동·읍면부",읍면부,100.0,16.9,36.7,36.0,8.0,2.4
"전국","성별",남자,100.0,17.1,38.3,36.3,6.3,2.1
"전국","성별",여자,100.0,16.8,39.9,35.6,6.1,1.7
"전국","연령",15~29세,,,,,,
"전국","연령",19~29세,100.0,13.1,34.1,43.8,6.6,2.4
"전국","연령",30∼39세,100.0,14.2,40.1,38.1,5.3,2.2
"전국","연령",40∼49세,100.0,18.8,40.9,33.3,5.5,1.4
"전국","연령",50∼59세,100.0,18.8,39.3,34.1,6.2,1.6
"전국","연령",60세 이상,100.0,18.2,37.5,33.9,8.0,2.5
"전국","연령",65세 이상,100.0,18.0,37.0,34.2,8.4,2.4
"전국","교육정도",초졸이하,100.0,18.3,35.9,34.3,9.3,2.2
"전국","교육정도",중 졸,100.0,18.5,37.2,34.9,7.3,2.1
"전국","교육정도",고 졸,100.0,17.9,39.3,35.6,5.4,1.9
"전국","교육정도",대졸이상,100.0,15.9,39.2,36.6,6.3,2.0
"전국","혼인상태",미? 혼,100.0,13.3,35.9,41.4,6.9,2.5
"전국","혼인상태",배우자 있음,100.0,17.9,40.3,34.2,5.7,1.8
"전국","혼인상태",사? 별,100.0,20.9,35.7,33.6,7.3,2.4
"전국","혼인상태",이? 혼,100.0,18.4,37.8,35.0,7.8,1.1
"전국","경제활동상태",취? 업,100.0,16.3,39.0,36.6,6.2,1.9
"전국","경제활동상태",실업 및 비경제활동,100.0,22.9,38.3,30.7,6.1,1.9
"전국","산업",농림어업,100.0,14.6,38.3,35.1,9.5,2.5
"전국","산업",광공업,100.0,16.4,41.3,34.9,5.6,1.8
"전국","산업",사회간접자본?기타서비스업,100.0,16.4,38.3,37.0,6.3,2.0
"전국","직업",전문관리,100.0,14.1,39.2,37.8,6.4,2.5
"전국","직업",사? 무,100.0,14.9,40.0,36.9,6.4,1.8
"전국","직업",서비스판매,100.0,19.9,37.1,35.8,5.4,1.8
"전국","직업",농어업,100.0,13.6,38.5,36.0,9.5,2.4
"전국","직업",기능노무,100.0,16.8,39.6,35.7,6.1,1.8
"전국","종사상지위",임금근로자,100.0,14.3,38.7,38.5,6.6,2.0
"전국","종사상지위",고용주,100.0,25.5,41.7,27.0,3.5,2.3
"전국","종사상지위",자영자,100.0,23.2,39.2,30.4,5.6,1.6
"전국","주관적 만족감",만족,100.0,14.6,38.8,36.6,7.5,2.5
"전국","주관적 만족감",보통,100.0,15.8,38.7,38.6,5.4,1.5
"전국","주관적 만족감",불만족,100.0,26.1,39.6,27.5,5.1,1.7
"전국","가구소득",100만원 미만,100.0,21.9,34.9,33.9,7.2,2.1
"전국","가구소득",100∼200만원 미만,100.0,18.5,36.8,36.0,6.8,2.0
"전국","가구소득",200∼300만원 미만,100.0,15.1,39.5,37.8,5.8,1.8
"전국","가구소득",300∼400만원 미만,100.0,16.8,38.5,37.7,5.2,1.8
"전국","가구소득",400~500만원 미만,100.0,17.0,40.2,34.8,6.1,1.9
"전국","가구소득",500∼600만원 미만,100.0,15.6,40.4,36.7,5.6,1.6
"전국","가구소득",600만원 이상,100.0,17.3,39.4,33.6,7.3,2.4
"전국","연령*성별",15~29세*남자,,,,,,
"전국","연령*성별",15~29세*여자,,,,,,
"전국","연령*성별",19∼29세*남자,100.0,13.5,30.6,46.4,6.4,3.2
"전국","연령*성별",19∼29세*여자,100.0,12.8,37.5,41.3,6.8,1.6
"전국","연령*성별",30∼39세*남자,100.0,14.7,38.5,38.5,5.7,2.6
"전국","연령*성별",30∼39세*여자,100.0,13.3,42.9,37.4,4.8,1.6
"전국","연령*성별",40∼49세*남자,100.0,19.1,40.2,33.9,5.4,1.5
"전국","연령*성별",40∼49세*여자,100.0,18.4,42.1,32.5,5.7,1.3
"전국","연령*성별",50∼59세*남자,100.0,18.0,39.9,33.7,6.6,1.8
